filename,filetype,filesize,codesecsize,md5,imphash,compilationtime,addressep,sectionep,tlssections,originalfilename,sectioncount,secname1,secname2,secname3,secname4,secname5,secname6,secsize1,secsize2,secsize3,secsize4,secsize5,secsize6,secent1,secent2,secent3,secent4,secent5,secent6,functionstotal,refslocal,refsglobalvar,refsunknown,apitotal,apimisses,stringsreferenced,stringsdangling,stringsnoref,ratiofunc,ratioapi,ratiostring,getprocaddress,memallocation,createthread,ctshortestpath,callbackcount,cbaveragesize,cblargestsize,stringsrefhisto
058f97f04ceffef08f39a71af71e537cbb66ad34762eac10861ba9014c4027e1,PE32 executable (GUI) Intel 80386 for MS Windows,434176,196608,bbf4b1961ff0ce19db748616754da76e,041c554f36c4fe7e843f8de97f7bae99,2010-06-21 09:35:15,0x1c26d,.text|0,0,,5,.text,.rdata,.data,.rsrc,.reloc,,196608,28672,12288,4096,188416,,6.6827832360775705,4.918666461209748,4.184370767947775,0.3918833886381113,7.887215327766603,,1395,4356,5,1,551,1,321,0,6596,7.0953369140625,2.8025309244791665,1.6326904296875,12,24,1,2,1,220,220,4-9-38-86-115-14-13-11-23
1994a8943b1e153db30a1417fd7ca8454abc38f9be8bc56ea1c898642acbe076,PE32 executable (GUI) Intel 80386 for MS Windows,458559,114176,68232e5b569fa58917b884ad8acd79ed,a9e537e04767ea26d8cf8705fea73bdd,2013-06-19 17:15:23,0x8fcb,.text|0,0,,5,.text,.rdata,.data,.reloc,.rsrc,,114176,23552,7168,9216,8192,,6.650839395247582,4.848302077581436,3.7738213979848685,5.068448054432351,3.862058010573144,,876,2580,6,1,308,0,72,0,7610,7.672365470852018,2.6975896860986546,0.6306053811659192,20,7,1,4,1,101,101,2-1-8-12-25-1-2-3-14
43861501e7e7bb546b55a9323d1cff132dddb750b3e86823af7ea08d45357e28,PE32 executable (GUI) Intel 80386 for MS Windows,192512,139264,51cd931e9352b3b8f293bf3b9a9449d2,da740fe1aca64c193d2c6ee1facd2104,2010-05-06 13:47:37,0x1284b,.text|0,0,,5,.text,.rdata,.data,.rsrc,.reloc,,139264,20480,12288,4096,12288,,6.547450609009741,5.288756666223076,3.827964653369115,0.0,4.675338314777438,,875,3523,3,2,679,1,365,0,2327,6.283030790441176,4.875631893382352,2.620921415441176,11,20,8,2,7,503,864,3-10-31-133-107-12-17-18-23
4f4b484acc053687d6e4365f0f19e926b1a44cc665182aa6b9417fa43264b240,PE32 executable (GUI) Intel 80386 for MS Windows,192512,139264,e8a333a726481a72b267ec6109939b0d,da740fe1aca64c193d2c6ee1facd2104,2010-05-06 13:47:37,0x1284b,.text|0,0,,5,.text,.rdata,.data,.rsrc,.reloc,,139264,20480,12288,4096,12288,,6.547450609009741,5.288756666223076,3.827964653369115,0.0,4.675338314777438,,875,3523,3,2,679,1,365,0,2327,6.283030790441176,4.875631893382352,2.620921415441176,11,20,8,2,7,503,864,3-10-31-133-107-12-17-18-23
5b54508b69a6d8a7630f9f6b627cba6dc80320f2f762a2cc8ba4dd4519ef500a,PE32 executable (GUI) Intel 80386 for MS Windows,290816,233472,83b7c532663f11bf994a1b518880557d,e5c91819994f87e4b5099e1d342bbec5,2010-03-09 14:32:03,0x20ec5,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,233472,36864,12288,4096,,,6.636650721734158,4.698327673778753,4.863273179778104,0.0,,,1571,5266,5,2,740,1,393,0,3577,6.728858278508771,3.1695449561403506,1.6832853618421053,12,20,7,3,6,539,863,3-13-27-140-110-14-19-18-33
5ef78d7c2d3b7201e540e6c1909174c7133fca8bafc44ac53ce275e04559c393,PE32 executable (GUI) Intel 80386 for MS Windows,192512,139264,d5a80844c54059654688ae7abfc1fad9,da740fe1aca64c193d2c6ee1facd2104,2010-05-06 13:47:37,0x1284b,.text|0,0,,5,.text,.rdata,.data,.rsrc,.reloc,,139264,20480,12288,4096,12288,,6.547450609009741,5.288756666223076,3.827964653369115,0.0,4.675338314777438,,875,3523,3,2,679,1,365,0,2327,6.283030790441176,4.875631893382352,2.620921415441176,11,20,8,2,7,503,864,3-10-31-133-107-12-17-18-23
7d1e5c4afb1682087d86e793b3fc5a8371dc7c28e27e7196e3b258934f6bafb5,PE32 executable (GUI) Intel 80386 for MS Windows,802144,583680,b8ac16701c3c15b103e61b5a317692bc,c0b4d1880addd1fcab5095057ac559e2,2011-10-25 19:28:39,0x572ae,.text|0,0,netmgr.exe,5,.text,.rdata,.data,.rsrc,.reloc,,583680,112128,68608,2560,24064,,6.34353480646419,6.1564028320667905,3.790503667137237,6.1419732599426435,6.099956952230222,,3685,14429,4,2,1156,70,1009,59,6919,6.313390899122807,1.9805372807017545,1.7286869517543861,25,39,8,2,4,734,1241,16-59-103-195-191-36-34-79-135
82daadf1558692587f82d6ad545b7e6ba2c98a88a20604e2f074f39248aa2712,PE32 executable (GUI) Intel 80386 for MS Windows,184320,139264,8132ee00f64856cf10930fd72505cebe,ab6ca4f362ad7e1f7c89ed74c127c9ff,2010-03-11 16:55:03,0x12b76,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,139264,24576,12288,4096,,,6.530174474181165,4.64687943062068,3.779560986539929,0.0,,,895,3518,4,2,679,1,359,0,2104,6.426642922794117,4.875631893382352,2.577837775735294,11,20,7,3,6,550,863,3-10-27-132-103-12-19-20-22
82e6f9c10c7ba737f8c79deae4132b9ff82090ccd220eb3d3739365b5276c3c8,PE32 executable (GUI) Intel 80386 for MS Windows,710141,79872,8b3961f7f743daacfd67380a9085da4f,f445666591b9dc1e4fa252be6b3a3a67,2011-07-06 13:50:11,0x691a,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,79872,24576,4608,512,,,6.587479863059564,6.818946676979433,2.4062969218711365,0.0,,,624,1905,3,4,291,0,140,0,13564,7.8125,3.643329326923077,1.7528044871794872,15,12,0,0,0,0,0,3-66-3-14-24-19-0-4-2
8e6402c8703e9f10493222a26afeb0fc575bb879d6c82d89c1a79aa75be645d0,PE32 executable (GUI) Intel 80386 for MS Windows,520704,87040,4d7ca8d467770f657305c16474b845fe,2059382daa611ced9176544e1286e55c,2010-06-18 14:18:13,0xdbca,.text|0,0,,6,.text,.rdata,.data,.rsrc,.reloc,.idata,87040,19456,7680,1024,7168,397312,6.5594749855049015,5.921400725408906,1.6283115340650474,1.1189015333263308,4.455092453676996,7.999446110463291,643,2291,4,1,308,1,155,0,9299,7.3874080882352935,3.53860294117647,1.7807904411764706,10,8,1,3,1,111,111,2-14-7-44-65-10-1-3-5
