filename,filetype,filesize,codesecsize,md5,imphash,compilationtime,addressep,sectionep,tlssections,originalfilename,sectioncount,secname1,secname2,secname3,secname4,secname5,secname6,secsize1,secsize2,secsize3,secsize4,secsize5,secsize6,secent1,secent2,secent3,secent4,secent5,secent6,functionstotal,refslocal,refsglobalvar,refsunknown,apitotal,apimisses,stringsreferenced,stringsdangling,stringsnoref,ratiofunc,ratioapi,ratiostring,getprocaddress,memallocation,createthread,ctshortestpath,callbackcount,cbaveragesize,cblargestsize,stringsrefhisto
038ee601e4d9702cf23133b7bf694beb5d28afb999739c354c4d6e0f7c269f22,PE32 executable (GUI) Intel 80386 for MS Windows,1562601,524800,1e6d0b59d4fb7650453c207688385f3a,aaaa8913c89c8aa4a5d93f06853894da,2010-04-16 07:47:33,0x16310,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,524800,55808,26624,96768,,,6.634724770481731,4.880067258044234,2.201764989626115,4.794571332238528,,,2675,13282,22,4,2443,20,562,0,18069,5.097179878048781,4.655106707317073,1.0708841463414636,29,31,4,4,4,84,131,5-22-65-179-152-44-3-13-35
0ff72ba33898c07eb26ffea210fab9fbe199aa54f55b2be68b9dea94273e624a,PE32 executable (GUI) Intel 80386 for MS Windows UPX compressed,892350,270848,779a79c11f581b84e7c81f321fd8d743,890e522b31701e079a367b89393329e6,2012-01-29 21:32:28,0xb7e70,UPX1|1,0,,3,UPX0,UPX1,.rsrc,,,,0,270848,27136,,,,0.0,7.929033954133817,5.402807530618025,,,,2,0,0,0,0,0,0,0,18707,0.007384215500945179,0.0,0.0,0,0,0,0,0,0,0,0-0-0-0-0-0-0-0-0
1f76c2957c2c39ec83a817479dda38c5047d153dbe466c2aabff7b4354e0647f,PE32 executable (GUI) Intel 80386 for MS Windows,1157417,526336,6c34d4296126679d9c6a0bc2660dc453,d3bf8a7746a8d1ee8f6e5960c3f69378,2012-01-29 21:32:28,0x165c1,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,526336,57344,26624,35328,,,6.684690148171277,4.799741132252141,2.150071539167753,5.630671057543231,,,2613,12988,37,1,2540,36,536,12,17475,4.964509362840467,4.825814688715953,1.0183608949416343,25,33,4,4,4,71,101,7-16-63-176-138-40-4-12-35
3c22bcf90b1f94691f9982de6d603f27517799684cbc77e0e1b08e327a0e4c00,PE32 executable (GUI) Intel 80386 for MS Windows,75776,23552,2827450763b55c5e71fda3caaf8e75f9,394b3e18e03537a1c51f949fab757567,2013-05-07 13:22:08,0x17e00,.rsrc|1,0,Dropbox.exe,3,pec1,.rsrc,.rsrc,,,,23552,25600,25600,,,,7.893564360023055,5.537302700294467,7.38508764470497,,,,0,0,0,0,0,0,0,0,1238,0.0,0.0,0.0,0,0,0,0,0,0,0,0-0-0-0-0-0-0-0-0
56ea4781ccefb7596e77fcb7a57fb703007f2fb9b94fe33a3cc5257ab7996d1c,PE32 executable (GUI) Intel 80386 for MS Windows,307200,12288,dd1101adc86fd282f5f183942cc2f3b7,afa6774859bc8161a025b0577286ce3e,2012-08-26 05:50:37,0x10ec,.text|0,0,Stub.exe,3,.text,.data,.rsrc,,,,12288,0,290816,,,,4.869821891477226,0.0,7.951756184515005,,,,9,2,0,0,23,13,1,0,5854,0.732421875,1.8717447916666665,0.08138020833333333,0,0,0,0,0,0,0,0-1-0-0-0-0-0-0-0
647dc0a8981f507602d2b8963420892e253742c5f93536e5a857ac585a9544a6,PE32 executable (GUI) Intel 80386 for MS Windows,1352589,524800,a74ef893b1bf21c9df6d8e31285db981,aaaa8913c89c8aa4a5d93f06853894da,2010-04-16 07:47:33,0x16310,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,524800,55808,26624,97280,,,6.634724770481731,4.880067258044234,2.201764989626115,6.3652812675883474,,,2675,13282,22,4,2443,20,562,0,31476,5.097179878048781,4.655106707317073,1.0708841463414636,29,31,4,4,4,84,131,5-22-65-179-152-44-3-13-35
6a0d1ea10ad7821a2b07ab5b1aa71365a1d3af06788154025eb30314823b9670,PE32 executable (GUI) Intel 80386 for MS Windows,1092866,524800,a988235ad7d47acbeca5ccb4ea5a1ed5,aaaa8913c89c8aa4a5d93f06853894da,2010-04-16 07:47:33,0x16310,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,524800,55808,26624,28672,,,6.634724770481731,4.880067258044234,2.201764989626115,5.286292699816573,,,2675,13282,22,4,2443,20,562,0,18652,5.097179878048781,4.655106707317073,1.0708841463414636,29,31,4,4,4,84,131,5-22-65-179-152-44-3-13-35
6eeb5bcfc5d28ccad251035b11b08d553f7d10e22574209524b71a0dff1dcd3f,PE32 executable (GUI) Intel 80386 for MS Windows,75776,23552,c2237e9d415f542ce6e73adb260af123,394b3e18e03537a1c51f949fab757567,2013-05-07 13:22:08,0x17e00,.rsrc|1,0,Dropbox.exe,3,pec1,.rsrc,.rsrc,,,,23552,25600,25600,,,,7.893564360023055,5.537302700294467,7.3872149234740645,,,,0,0,0,0,0,0,0,0,1234,0.0,0.0,0.0,0,0,0,0,0,0,0,0-0-0-0-0-0-0-0-0
74e21a71ded8ce81aafc380e439c0851a1df9001f4c342a7c11bd71c3c9c3a80,PE32 executable (GUI) Intel 80386 for MS Windows,1494961,526336,e03be1849ad7cecba1e20923074cd22f,d3bf8a7746a8d1ee8f6e5960c3f69378,2012-01-29 21:32:28,0x165c1,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,526336,57344,26624,28672,,,6.684690148171277,4.799741132252141,2.150071539167753,5.223011124474851,,,2613,12988,37,1,2540,36,536,12,40555,4.964509362840467,4.825814688715953,1.0183608949416343,25,33,4,4,4,71,101,7-16-63-176-138-40-4-12-35
7525af4888f939e7a1df51bb8737a887af0b705d72e89a0b573f35ea57ace888,PE32 executable (GUI) Intel 80386 Mono/.Net assembly for MS Windows,598062,208896,5a8975873f52436377d8fb0b5ab0d87a,a7f367ba8a92c23dbdc563065bea5060,2012-10-22 21:25:00,0x1100,.jkjfgbj|0,0,°§ã±¬òäöýÝÅ£°ðïªƒäƒÎ¾¦ð‰ë¬åïÍ.exe,3,.jkjfgbj,.ljkndj,.klmnfjh,,,,208896,0,102400,,,,5.166262146483606,0.0,6.766430933743999,,,,25,1,0,0,23,0,1,0,7642,0.11967677696078433,0.11010263480392157,0.004787071078431373,0,0,0,0,0,0,0,0-1-0-0-0-0-0-0-0
